heaviest queen weight,row location of heaviest queen,col location of heaviest queen,lightest queen weight,row location of lightest queen,col location of lightest queen,initial conflicts,n,average value including 0,lightest in conflict,heaviest in conflict,average in conflict,smallest d in conflict,smallest row d in conflict,smallest d in conflict,largest d in conflict,largest row d in conflict,largest d in conflict,average d in conflict
7,1,3,2,3,2,0,4,1.125,0,0,0,0,0,0,0,0,0,0
5,1,1,4,0,3,3,4,1.1875,4,5,4.666666667,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
5,0,1,4,1,3,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
5,1,0,1,2,1,5,4,0.8125,1,4,2.4,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
5,1,0,1,3,1,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
7,2,1,4,1,2,3,4,1.3125,4,7,5,1.414213562,-1,1,4.242640687,-3,-3,2.357022604
7,3,1,4,0,2,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
4,0,3,2,1,2,3,4,0.6875,2,4,2.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
4,2,3,2,0,2,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,3,2,2,1,3,0,4,1.375,0,0,0,0,0,0,0,0,0,0
8,3,2,2,1,3,0,4,1.375,0,0,0,0,0,0,0,0,0,0
8,3,1,1,2,0,3,4,1.25,4,8,6.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,3,1,1,1,0,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,0,1,1,1,2,5,4,1.0625,1,4,2.8,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
8,0,1,1,3,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
5,0,0,2,2,2,7,4,0.875,2,4,2.857142857,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
5,1,0,2,0,2,0,4,0.875,0,0,0,0,0,0,0,0,0,0
4,0,1,2,3,0,5,4,0.75,2,3,2.8,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
4,0,1,2,2,0,0,4,0.75,0,0,0,0,0,0,0,0,0,0
6,1,0,1,2,3,0,4,0.875,0,0,0,0,0,0,0,0,0,0
6,1,0,1,2,3,0,4,0.875,0,0,0,0,0,0,0,0,0,0
6,0,0,4,1,2,1,4,1.3125,5,5,5,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,1,0,4,0,2,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
7,0,3,3,1,2,3,4,1,3,7,4.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,2,3,3,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0
8,1,2,2,2,0,3,4,1,3,8,4.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,2,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
8,1,2,2,2,1,3,4,1.125,2,8,4.666666667,1.414213562,-1,1,4.242640687,-3,-3,2.357022604
8,0,2,2,3,1,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,1,3,5,2,2,2,4,1.6875,5,8,6.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,1,3,5,3,2,0,4,1.6875,0,0,0,0,0,0,0,0,0,0
6,2,3,3,0,0,3,4,1.0625,3,6,4.666666667,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,1,3,3,0,1,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
